Survived,Age,SibSp,Parch,Fare,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Other,Pclass_1,Pclass_2,Pclass_3,Sex_female,Sex_male,Cabin_A,Cabin_B,Cabin_C,Cabin_D,Cabin_E,Cabin_F,Cabin_G,Cabin_n,Embarked_C,Embarked_Q,Embarked_S
0,0.4093993465694898,0.0,0.0,0.23056768501693148,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
0,0.38426740387031916,0.0,0.0,0.13640411465232144,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
1,0.09525006282985675,0.0,0.3333333333333333,0.3873040545816513,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
0,0.5036441316913798,0.0,0.3333333333333333,0.26491806312910715,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
0,0.2963056044232219,0.0,0.0,0.13958327668775772,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
1,0.4722292033174164,0.0,0.0,0.832622247522055,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
1,0.4219653179190751,0.0,0.0,0.24240066941351945,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
0,0.5727569741140991,0.0,0.0,0.6150178939491493,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
1,0.610454888162855,0.0,0.0,0.38476851315866933,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
0,0.7486805730082936,0.2,0.16666666666666666,0.4689395507521764,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
0,0.4219653179190751,0.2,0.16666666666666666,0.26349103614556724,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
1,0.2586076903744659,0.4,0.3333333333333333,0.8620094216912586,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
0,0.7109826589595376,0.0,0.0,0.19836071258481075,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
0,0.37170143252073384,0.0,0.0,0.24240066941351945,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1,0.14551394822819805,0.2,0.0,0.21243516910538268,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0
1,0.37170143252073384,0.0,0.0,0.25564683798958276,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0,0.2711736617240512,0.0,0.0,0.14357150391296164,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
0,0.7361146016587082,0.0,0.0,0.25018289774900737,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
0,0.35913546117114853,0.2,0.0,0.11609672436189117,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
1,0.32143754712239253,0.0,0.0,0.6141046168896281,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
0,0.39683337521990447,0.4,0.0,0.5996162900979279,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
0,0.2837396330736366,0.0,0.0,0.19836071258481075,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
0,0.7486805730082936,0.0,0.0,0.3896473136176174,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1,0.4345312892686604,0.2,0.0,0.6258582514227714,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
1,0.4345312892686604,0.2,0.0,0.7229140556557101,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
0,0.4470972606182458,0.0,0.0,0.24240066941351945,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1,0.005152048253329982,0.2,0.16666666666666666,0.31792193964272697,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1,0.3088715757728072,0.2,0.0,0.6438356348354272,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,0.19577783362653933,0.4,0.0,0.3095042575650553,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
0,0.5224930887157577,0.2,0.0,0.3931130183263598,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
0,0.35913546117114853,0.0,0.0,0.19836071258481075,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1,0.5978889168132697,0.2,0.0,0.6084824545969512,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
0,0.6230208595124404,0.0,0.0,0.14357150391296164,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
1,0.5476250314149284,0.0,0.0,0.14034444937948776,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
1,0.34656948982156316,0.0,0.0,0.24240066941351945,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
0,0.2711736617240512,0.0,0.0,0.16657413698770296,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
0,0.37170143252073384,0.0,0.0,0.1586927479981518,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
1,0.5099271173661725,0.0,0.16666666666666666,0.32600943017482387,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
0,0.37170143252073384,0.0,0.0,0.14357150391296164,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
0,0.4596632319678311,0.0,0.0,0.17961360488872902,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
1,0.34656948982156316,0.0,0.0,0.23677290478077884,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1,0.37170143252073384,0.0,0.0,0.23390035676926402,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
0,0.24604171902488062,0.0,0.0,0.17166586670095163,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
1,0.6355868308620256,0.2,0.0,0.6117594017121967,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
0,0.34656948982156316,0.2,0.16666666666666666,0.26349103614556724,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
1,0.0041467705453631576,0.4,0.16666666666666666,0.3234375788739323,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0
0,0.01985423473234481,0.6000000000000001,0.3333333333333333,0.3998744298436282,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
0,0.32143754712239253,0.0,0.0,0.13640411465232144,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
0,0.38426740387031916,0.0,0.0,0.522208073391547,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
0,0.5664739884393064,0.0,0.0,0.12127566351485602,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0
0,0.3088715757728072,0.0,0.0,0.24240066941351945,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1,0.2711736617240512,0.0,0.16666666666666666,0.5398268152655166,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
0,0.5853229454636844,0.0,0.0,0.12198794255175466,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
1,0.24604171902488062,0.2,0.0,0.14034444937948776,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
0,0.22090977632571,0.2,0.0,0.6806845105980264,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,0.33400351847197784,0.0,0.16666666666666666,0.23390035676926402,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
0,0.09525006282985675,0.6000000000000001,0.16666666666666666,0.34202596611956204,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
1,0.4345312892686604,0.2,0.16666666666666666,0.3337916585103119,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
0,0.5099271173661725,0.0,0.8333333333333333,0.4725428995326145,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
1,0.19577783362653933,0.0,0.0,0.14357150391296164,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
1,0.22090977632571,0.2,0.0,0.832622247522055,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
1,0.40311636089469716,0.0,0.0,0.24240066941351945,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
0,0.34656948982156316,0.0,0.0,0.3557464679876988,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
1,0.37170143252073384,0.0,0.0,0.6492447888693298,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
0,0.01985423473234481,0.8,0.16666666666666666,0.4087350864765126,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0
0,0.2711736617240512,0.2,0.0,0.12198794255175466,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
1,0.2586076903744659,0.0,0.0,0.13695502504037338,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
0,0.2334757476752953,0.0,0.0,0.14357150391296164,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
0,0.6984166876099522,0.0,0.0,0.3896473136176174,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1,0.24604171902488062,0.2,0.16666666666666666,0.28186077816473865,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0
1,0.2963056044232219,0.0,0.0,0.11888443467556509,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
0,0.32143754712239253,0.4,0.0,0.1586927479981518,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
0,0.22090977632571,0.0,0.0,0.10725277717165493,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
0,0.2963056044232219,0.0,0.0,0.1288630907382886,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
1,1.0,0.0,0.0,0.41483883880059147,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
1,0.37170143252073384,0.0,0.0,0.5469357603593863,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
1,0.33400351847197784,0.0,0.0,0.41824725650350625,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1,0.007288263382759488,0.0,0.3333333333333333,0.28186077816473865,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0
0,0.38426740387031916,0.2,0.0,0.3095042575650553,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
0,0.35913546117114853,0.0,0.0,0.41483883880059147,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
0,0.2837396330736366,0.0,0.0,0.14034444937948776,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
0,0.4093993465694898,0.0,0.0,0.13640411465232144,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
0,0.648152802211611,0.0,0.0,0.25018289774900737,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1,0.723548630309123,0.0,0.0,0.3896473136176174,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
1,0.2586076903744659,0.0,0.0,0.1391492992262599,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
0,0.20834380497612465,0.0,0.0,0.1586927479981518,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
0,0.19577783362653933,0.2,0.5,0.44290991610765207,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
0,0.6732847449107816,0.0,0.0,0.2576820724008587,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1,0.648152802211611,0.0,0.0,0.41824725650350625,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
0,0.5224930887157577,0.0,0.0,0.1330619900141637,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
1,0.33400351847197784,0.0,0.0,0.1586927479981518,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
0,0.6355868308620256,0.0,0.16666666666666666,0.5624552580528467,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0,0.22090977632571,0.2,0.16666666666666666,0.1384939902984509,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
1,0.4093993465694898,0.2,0.0,0.6413777201392483,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
1,0.2586076903744659,0.2,0.0,0.2786701297405073,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
1,0.2837396330736366,0.6000000000000001,0.3333333333333333,0.8625000347615062,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
0,0.2334757476752953,0.0,0.0,0.10725277717165493,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0
1,0.32143754712239253,0.0,0.0,0.5453599261386355,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
0,0.4345312892686604,0.0,0.0,0.11840168561733327,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
0,0.6732847449107816,0.0,0.0,0.5277149359231924,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
0,0.2711736617240512,0.0,0.0,0.12198794255175466,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
1,0.2586076903744659,0.0,0.0,0.1391492992262599,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
1,0.32143754712239253,0.0,0.0,0.3183339369349313,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0
0,0.34656948982156316,0.0,0.0,0.13958327668775772,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
1,0.4093993465694898,0.2,0.3333333333333333,0.39876281218578147,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1,0.19577783362653933,0.0,0.0,0.13529519213357077,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
0,0.04498617743151546,0.6000000000000001,0.3333333333333333,0.3998744298436282,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
1,0.5853229454636844,0.2,0.16666666666666666,0.5304469470237934,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
1,0.4219653179190751,0.0,0.0,0.19836071258481075,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
0,0.10781603417944208,0.8,0.3333333333333333,0.4241618307888847,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
0,0.2334757476752953,0.2,0.16666666666666666,0.4566861695205756,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1,0.32143754712239253,0.0,0.0,0.14034444937948776,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
1,0.08268409148027142,0.0,0.3333333333333333,0.3873040545816513,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1,0.2586076903744659,0.0,0.0,0.13574000916315482,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
1,0.003141492837396331,0.2,0.16666666666666666,0.26491806312910715,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
0,0.22090977632571,0.0,0.0,0.2171195095513897,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
0,0.4722292033174164,0.0,0.16666666666666666,0.7514180843381453,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
0,0.2963056044232219,0.0,0.16666666666666666,0.8499917861532236,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,0.22090977632571,0.2,0.16666666666666666,0.3334094441726121,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
0,0.01985423473234481,0.0,0.16666666666666666,0.1976229494502278,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1
1,0.2963056044232219,0.0,0.0,0.5874831097302091,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
0,0.5601910027645137,0.2,0.6666666666666666,0.3998744298436282,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
1,0.3088715757728072,0.2,0.0,0.13640411465232144,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
1,0.4219653179190751,0.0,0.0,0.3896473136176174,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
0,0.38426740387031916,0.0,0.0,0.1384939902984509,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
1,0.19577783362653933,0.0,0.16666666666666666,0.5507043417934704,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
1,0.6732847449107816,0.2,0.0,0.5556965341331014,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
1,0.4470972606182458,0.0,0.0,0.24240066941351945,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
0,0.7989444584066349,0.0,0.0,0.385330789990872,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
0,0.22090977632571,0.0,0.0,0.24240066941351945,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1,0.22090977632571,0.0,0.16666666666666666,0.36004963012874225,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1,0.0,0.0,0.16666666666666666,0.15519254437067082,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0
0,0.35913546117114853,0.2,0.0,0.34129083316216324,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1,0.2586076903744659,0.0,0.0,0.13574000916315482,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
1,0.2711736617240512,0.2,0.0,0.5792884721049503,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
1,0.2711736617240512,0.0,0.0,0.12198794255175466,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
1,0.35913546117114853,0.0,0.0,0.8174035784319928,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1,0.03870319175672279,0.2,0.16666666666666666,0.2752603373358359,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0
0,0.24604171902488062,0.0,0.0,0.14034444937948776,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
1,0.4093993465694898,0.6000000000000001,0.0,0.2832745699568402,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
1,0.6984166876099522,0.0,0.0,0.4495503510440667,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
1,0.32143754712239253,0.0,0.0,0.41483883880059147,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
0,0.2837396330736366,0.0,0.0,0.24240066941351945,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1,0.2711736617240512,0.0,0.0,0.13574000916315482,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
0,0.4470972606182458,0.2,0.16666666666666666,0.37011038525161855,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
0,0.34656948982156316,0.0,0.0,0.13958327668775772,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
1,0.35913546117114853,0.0,0.0,0.13574000916315482,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0
1,0.2963056044232219,0.0,0.0,0.5181184901949214,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
0,0.37170143252073384,0.2,0.0,0.3688256173811033,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
1,0.4722292033174164,0.2,0.0,0.5933016197620957,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
1,0.6230208595124404,0.0,0.0,0.19836071258481075,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
0,0.2963056044232219,0.0,0.0,0.19836071258481075,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1,0.2963056044232219,0.4,0.5,0.31792193964272697,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1,0.39683337521990447,0.0,0.0,0.5453599261386355,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
0,0.4219653179190751,0.0,0.0,0.14357150391296164,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
1,0.39683337521990447,0.0,0.0,0.5453599261386355,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
0,0.39683337521990447,0.2,0.16666666666666666,0.2786701297405073,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
1,0.5224930887157577,0.0,0.0,0.3875984223349267,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1,0.2711736617240512,0.0,0.0,0.13574000916315482,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
0,0.4345312892686604,0.0,0.0,0.385330789990872,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1,0.39683337521990447,0.0,0.0,0.14034444937948776,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
1,0.39683337521990447,0.0,0.0,0.1384939902984509,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
0,0.22090977632571,0.0,0.0,0.13695502504037338,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
0,0.5224930887157577,0.0,0.0,0.1586927479981518,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
1,0.4093993465694898,0.0,0.0,0.6331985627569419,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
0,0.24604171902488062,0.0,0.0,0.0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0
0,0.2586076903744659,0.0,0.0,0.13640411465232144,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
0,0.5099271173661725,0.0,0.3333333333333333,0.3334094441726121,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
